ID_ESTABLECIMIENTO,Nombre del Establecimiento,Cadena Hotelera,Titular - Propiedad,CIF,País,Comunidad Autónoma,Isla,Municipio,Dirección Completa,Habitaciones,Plazas,Responsable Local,Cargo Local,Email Local,Responsable Corp,Cargo Corp,Email Corp,Edificio Prioritario,Servicio A01,Servicio A02,Servicio A03,Fecha Apertura,Fecha Cierre,STATUS
HS-439,Iberostar Waves Cala Millor,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Cala Millor,"Carrer Castell, 7, 07560 Cala Millor, Illes Balears",287,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-440,Iberostar Waves Ciudad Blanca,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Alcúdia,"Carretera d'Artà, 43, 07400 Alcúdia, Illes Balears",303,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-441,Iberostar Waves Club Cala Barca,Iberostar Hotels,,,1 España,Baleares- Mallorca,,Barca Trencada,"Sa Barca Trencada, S/N, Carrer de la Barca Trencada, 18D, 07691 Barca Trencada, Balearic Islands",685,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-442,Iberostar Waves Club Palmeraie Marrakech,Iberostar Hotels,,,6 Morocco,Morocco,,,"Commune Rurale Ouidane, 6, Americhich 03759, Marruecos",319,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-443,Iberostar Waves Creta Panorama & Mare,Iberostar Hotels,,,3 Grecia,Creta,,,"CJ8X+9H, IBEROSTAR Creta Panorama & Mare, Πάνορμο Γεροπόταμος, ΤΘ 32, Lavris 741 00, Grecia",454,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-444,Iberostar Waves Cristina,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Playa de Palma,"Carrer de Bartomeu Xamena, s/n, Platja de Palma, 07610 Playa de Palma, Illes Balears",423,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-445,Iberostar Waves Founty Beach,Iberostar Hotels,,,6 Morocco,Morocco,,,"Chemin des Dunes BP 1039, Agadir 80000, Marruecos",470,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-446,Iberostar Waves Gaviotas Park,Iberostar Hotels,,,1 España,Canarias - Fuerteventura,,Jandia,"Pje. Playas, 3, 35626 Jandia, Las Palmas",486,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-447,Iberostar Waves Herceg Novi,Iberostar Hotels,,,4 Montenegro,Montenegro,,,"Luke Vukalovića, Njivice 85347, Montenegro",238,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-448,Iberostar Waves Las Dalias,Iberostar Hotels,,,1 España,Canarias - Tenerife,Tenerife,Costa Adeje,"C. Gran Bretaña, 1, 38660 Costa Adeje, Santa Cruz de Tenerife",189,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-449,Iberostar Waves Málaga Playa,Iberostar Hotels,,,1 España,Andalucía- Málaga,,Torrox Costa,"Avenida Ferrara, s/n, 29770 Torrox Costa, Málaga",170,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-450,Iberostar Waves Mehari Djerba,Iberostar Hotels,,,5 Túnez,Túnez,,,"Route Touristique Midoun Djerba, Djerba 4116, Túnez",300,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-451,Iberostar Waves Pinos Park,Iberostar Hotels,,,1 España,Baleares- Mallorca,,Font de Sa Cala,"Carretera de Sa Font de Sa Gala, 33, 07589 Font de Sa Cala, Illes Balears",213,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-452,Iberostar Waves Playa de Muro,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Playa de Muro,"Av. de s'Albufera, 8, 07458 Playa de Muro, Mallorca, Illes Balears",443,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-453,Iberostar Waves Playa Gaviotas,Iberostar Hotels,,,1 España,Canarias - Fuerteventura,,,"Pje. Playas, 2, 35625, Las Palmas",214,0,,,,,,,NO,NO,NO,NO,,,Activo
